Na,Mg,Al,Si,P,S,Cl,K,Ca,Fe,Cu,Zn,Ba,Pb,OC,EC,SO4,NO3
0.349395261,0.075227717,0.051290365,0.066934516,0,3.360388429,0,0.057796059,0.075678058,0.070855946,0.004226276,0.026715608,0.005702009,0.009886715,2.47,0.73,7.192440809,2.29
0,0.078006202,0.035403733,0.089538225,0,1.59886377,0,0.059317582,0.082550184,0.128053217,0.00382762,0.053930821,0.032271405,0.01072436,2.62,0.76,3.963333675,1.43
0.378067088,0.032081665,0.018527109,0.067675414,0,2.014099867,0,0.057549486,0.106982929,0.151930643,0.005146419,0.084498641,0.005396786,0.013248552,3.05,0.53,4.873111883,0.84
0,0,0,0.051081601,0,3.27574469,0,0.073234766,0.082961917,0.066452467,0.002853485,0.014386906,0,0.014021435,11.87,0.51,7.758515222,1.29
0.52284361,0.065363409,0.055290087,0.112652846,0,5.251228402,0,0.080056029,0.158018164,0.125223276,0.002843733,0.019361434,0.008127982,0.008884896,4.21,0.6,12.3572033,1.21
0.319005003,0.019977032,0.020852795,0.093975491,0.003565111,5.197041862,0,0.058041657,0.116869432,0.141032194,0.002613495,0.027900267,0.028576052,0.011047016,5.33,0.75,12.28458886,0.87
0.802126635,0.013254965,0.026003327,0.137143779,0,5.2969269,0,0.10145947,0.182085744,0.130967382,0.003678079,0.018716566,0,0.011402046,3.94,0.63,12.79890302,0.84
0.352693534,0.060544447,0.041372273,0.095867896,0,2.958851667,0,0.088983055,0.105028949,0.067141249,0.001629881,0.010446692,0.027152969,0.003238685,4.22,0.61,6.351079564,0.92
0.829236042,0.170110729,0.036523652,0.137097233,0.013208173,2.704942344,0,0.078277851,0.13762445,0.099831315,0.000790826,0.011321291,0.014429097,0.010065683,2.94,0.63,6.085100513,0.98
0,0.065521759,0.222502896,0.543575839,0,3.065251676,0,0.188638515,0.198346493,0.192286103,0.003108256,0.071376352,0.043622036,0.02524926,3.41,0.62,5.97,1.42
0.564700032,0.12989111,0.109890009,0.31132772,0,1.549634804,0,0.240641235,0.092278118,0.132034573,0.004368841,0.060255877,0.015680044,0.038595982,2.98,0.55,3.270680458,0.67
0.196581767,0.061673129,0.04011699,0.077920084,0,0.541721317,0.002257113,0.102038543,0.088673311,0.082370429,0.002179037,0.010064737,0.076791527,0.005266597,2.28,0.71,1.195276196,0.31
0.162844195,0.08452275,0.139512216,0.338522692,0,2.235087112,0,0.241172493,0.139416284,0.15428571,0.005385884,0.061663577,0.051371468,0.042689642,3.3,0.66,4.446415124,0.55
0.49232958,0.402493356,0.964516161,0.062692176,0,6.410415966,5.653999474,15.23088499,0.146683616,0.134140951,0.262021144,0.109196628,1.392602477,0.118559562,5.29,0.75,1.457799601,0.36
