,"NORMALIZED TO OC, WEIGHTED BY EMISSION RATE",,,,,,,,,,,,,,,,,,,,,,,MG/MG OC ALL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI,,,pre 1990,pre 90 no bus,1990-1993,90-93 no bus,1994-1997,1998+,PC,I,II,III,BUS,ID ALL,HCS,HW,CCS,CSJ,UD,HCSF,CCSF,MC,SI
,0.431612142,0.433672666,0.893278562,1.206588362,0.613654456,1.410088517,0.00701743,2.381173475,1.09943104,0.396079944,0.744537274,1.595650291,0.534542641,0.595627392,0.721805401,1.147485363,3.23760147,0.250337386,0.510742213,1.237866416,0.00701743,,,0.000116454,0.000189075,0.000177305,0.000273232,0.000397027,0.00000001,0.00000001,0.000481969,0.000577535,0.000157977,0.00000001,0.000437385,0.000282051,0.000124413,9.03755E-06,0.00039739,0.000520959,0.00000001,0.000141879,0.00000001,0.00000001
ti,0.043998806,0.071436382,0.102178638,0.157460775,0.137567166,0,0,0.007136571,0.34669839,0.048728309,0,7.404495116,0.119913282,0.045108633,0.030039146,0,0.161885388,0.000632983,0,0,0,,ti,4.39988E-05,7.14364E-05,0.000102179,0.000157461,0.000137567,0,0,7.13657E-06,0.000346698,4.87283E-05,0,0.007404495,0.000119913,4.51086E-05,3.00391E-05,0,0.000161885,6.32983E-07,0,0,0
,1.293995251,1.599150481,2.94286573,4.14442784,2.621660947,4.985656223,0.043303948,8.689765619,3.847371128,1.510188919,1.866664729,6.416211395,1.97492135,1.989467759,1.967457336,6.433047428,19.81967001,0.611025285,2.570717693,3.069600381,0.043303948,,,8.79977E-06,1.42873E-05,2.04357E-05,3.14922E-05,2.75134E-05,0.00000001,0.00000001,1.42735E-06,6.93397E-05,9.74567E-06,0.00000001,0.001480899,2.39827E-05,9.02173E-06,6.00784E-06,0.00000001,3.23771E-05,1.26991E-07,0.00000001,0.00000001,0.00000001
PHTHALIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PHTHALIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,UNC,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
TEREPHTHALIC ACID,0.040225428,0.065309932,0,0,0,0,0,0,0,0.034774914,0,0,0,0.107914467,0,0,0,0,0,0,0,,TEREPHTHALIC ACID,4.02254E-05,6.53099E-05,0,0,0,0,0,0,0,3.47749E-05,0,0,0,0.000107914,0,0,0,0,0,0,0
UNC,0.0078904,0.012853735,0,0,0,0,0,0,0,0.006845042,0,0,0,0.021693655,0,0,0,0,0,0,0,,UNC,8.04509E-06,1.3062E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,6.95499E-06,0.00000001,0.00000001,0.00000001,2.15829E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
ISOPHTHALIC ACID,0.085927232,0.139511298,0,0,0,0,0,0,0,0.07428416,0,0,0,0.230520642,0,0,0,0,0,0,0,,ISOPHTHALIC ACID,8.59272E-05,0.000139511,0,0,0,0,0,0,0,7.42842E-05,0,0,0,0.000230521,0,0,0,0,0,0,0
UNC,0.013396435,0.021865602,0,0,0,0,0,0,0,0.011645088,0,0,0,0.037342345,0,0,0,0,0,0,0,,UNC,1.71854E-05,2.79023E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,1.48568E-05,0.00000001,0.00000001,0.00000001,4.61041E-05,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
AZELAIC ACID,0.069576097,0.013134996,0,0,0.025613498,0,0,0,0,0.016848501,0.126099666,0.014360221,0.077245277,0.006353779,0,0,0,0.051239076,0.127789407,0,0,,AZELAIC ACID,6.95761E-05,1.3135E-05,0,0,2.56135E-05,0,0,0,0,1.68485E-05,0.0001261,1.43602E-05,7.72453E-05,6.35378E-06,0,0,0,5.12391E-05,0.000127789,0,0
UNC,0.022859653,0.002606232,0,0,0.005307585,0,0,0,0,0.002445036,0.047310554,0.00498314,0.025161519,0.001399738,0,0,0,0.014617582,0.057681543,0,0,,UNC,1.39152E-05,2.62702E-06,0.00000001,0.00000001,5.12271E-06,0.00000001,0.00000001,0.00000001,0.00000001,3.36972E-06,2.52199E-05,2.87206E-06,1.54491E-05,1.2708E-06,0.00000001,0.00000001,0.00000001,1.02478E-05,2.55579E-05,0.00000001,0.00000001
METHYLPHTHALIC ACID,0.428400008,0.322931337,0.234894295,0.049440511,0.146861516,0.232345743,0.047748308,0.106477567,0.345775858,0.207570784,0.593313368,0.041206264,0.256899998,0.191345711,0.230511058,0.168042517,2.690936156,0.405433862,0.317808244,0.579344329,0.047748308,,METHYLPHTHALIC ACID,0.0004284,0.000322931,0.000234894,4.94405E-05,0.000146862,0.000232346,4.77483E-05,0.000106478,0.000345776,0.000207571,0.000593313,4.12063E-05,0.0002569,0.000191346,0.000230511,0.000168043,0.002690936,0.000405434,0.000317808,0.000579344,4.77483E-05
UNC,0.039573681,0.02487634,0.060131936,0.022328842,0.017460242,0.04536383,0.006390642,0.041804813,0.050059976,0.01520936,0.086403534,0.013467253,0.029336503,0.018674712,0.036151561,0.062511913,1.208187773,0.037235993,0.054478295,0.12998675,0.006390642,,UNC,8.568E-05,6.45863E-05,4.69789E-05,9.88811E-06,2.93723E-05,4.64691E-05,9.54967E-06,2.12955E-05,6.91552E-05,4.15142E-05,0.000118663,8.24126E-06,5.138E-05,3.82691E-05,4.61022E-05,3.36085E-05,0.000538187,8.10868E-05,6.35616E-05,0.000115869,9.54967E-06
BENZENE 3 CARBOXYLIC ACID,0.592841209,0.743014161,0.167548308,0.032795547,0.161449762,0.00677238,0,0.034016666,0.095084147,0.443947697,0.365736292,0.005288809,0.223971103,0.753345687,0.294680531,0.22393546,0,0.518002169,0.180373447,0.399532734,0,,BENZENE 3 CARBOXYLIC ACID,0.000592841,0.000743014,0.000167548,3.27955E-05,0.00016145,6.77238E-06,0,3.40167E-05,9.50841E-05,0.000443948,0.000365736,5.28881E-06,0.000223971,0.000753346,0.000294681,0.000223935,0,0.000518002,0.000180373,0.000399533,0
UNC,0.051886574,0.068870712,0.047657228,0.013270308,0.018798102,0.001978795,0,0.013745334,0.024749078,0.038121881,0.064851202,0.001308559,0.02496804,0.099869579,0.053543472,0.101262654,0,0.049069478,0.0352795,0.103967493,0,,UNC,0.000118568,0.000148603,3.35097E-05,6.55912E-06,3.229E-05,1.35451E-06,0.00000001,6.80334E-06,1.90168E-05,8.87895E-05,7.31473E-05,1.05781E-06,4.47942E-05,0.000150669,5.89361E-05,4.47871E-05,0.00000001,0.0001036,3.60747E-05,7.99065E-05,0.00000001
BENZENE 4 CARBOXYLIC ACID,0.121804467,0.197761512,0,0,0.0339559,0,0,0,0,0.118364392,0,0,0.023600799,0.270367031,0.022978238,0,0,0.102239772,0,0,0,,BENZENE 4 CARBOXYLIC ACID,0.000121804,0.000197762,0,0,3.39559E-05,0,0,0,0,0.000118364,0,0,2.36008E-05,0.000270367,2.29782E-05,0,0,0.00010224,0,0,0
UNC,0.014711608,0.024096114,0,0,0.00563606,0,0,0,0,0.013235296,0,0,0.00334154,0.039495287,0.008987892,0,0,0.020954054,0,0,0,,UNC,2.43609E-05,3.95523E-05,0.00000001,0.00000001,6.79119E-06,0.00000001,0.00000001,0.00000001,0.00000001,2.36729E-05,0.00000001,0.00000001,4.72017E-06,5.40734E-05,4.59566E-06,0.00000001,0.00000001,2.0448E-05,0.00000001,0.00000001,0.00000001
TETRADECANOIC ACID,0,0,0,0,0.034485138,0,0,0,0,0.013267955,0,0,0,0.041173482,0,0,0,0,0,0,0,,TETRADECANOIC ACID,0,0,0,0,3.44851E-05,0,0,0,0,1.3268E-05,0,0,0,4.11735E-05,0,0,0,0,0,0,0
