,WEIGHTED PROFILES,,,,,,,,,,,,,,,,,,,,WEIGHTED PROFILES,,,,,,,,,,,,,,,,,,GOOD SMOKERS ONLY,,,,,,BAD SMOKERS ONLY,,,,NEW-DEFINED SMOKERS,,,BY YEAR,,,,,,,,,,,,,,,,MG/MGOC ALL,WEIGHTED PROFILES,,,,,,,,,,,,,,,,,,,MG/MGOC ALL,WEIGHTED PROFILES,,,,,,,,,,,,,,,,,,GOOD SMOKERS ONLY,,,,,,BAD SMOKERS ONLY,,,,NEW-DEFINED SMOKERS,,,BY YEAR,,,,,,,,,,,,,
,WITH BAD SMOKERS,,,,,,,,,,,,,,,,,,,,NO BAD SMOKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WITH BAD SMOKERS,,,,,,,,,,,,,,,,,,,,NO BAD SMOKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0a NREL,0a NREL,0b NREL,0b NREL,1 EMFAC,1 EMFAC,2 EMFAC,2 EMFAC,3 EMFAC,3 EMFAC,4 EMFAC,4 EMFAC,5a NEW 85,5a NEW 85,5b NEW 95,5b NEW 95,6 MICRO,6 MICRO,,,0a NREL,0a NREL,0b NREL,0b NREL,1 EMFAC,1 EMFAC,2 EMFAC,2 EMFAC,3 EMFAC,3 EMFAC,4 EMFAC,4 EMFAC,5a NEW 85,5a NEW 85,5b NEW 95,5b NEW 95,6 MICRO,6 MICRO,1C8594,1W8594,2C8594,2W8594,3C7584,3W7584,4C8594,4W8594,5C6574,5W6574,6C7584,6W7584,7C7584,1995+,1995+,85-95,85-95,85-95,85-95,75-84,75-84,75-84,75-84,65-74,65-74,3 good smokers,3 good smokers,,,,0a NREL,0a NREL,0b NREL,0b NREL,1 EMFAC,1 EMFAC,2 EMFAC,2 EMFAC,3 EMFAC,3 EMFAC,4 EMFAC,4 EMFAC,5a NEW 85,5a NEW 85,5b NEW 95,5b NEW 95,6 MICRO,6 MICRO,,,0a NREL,0a NREL,0b NREL,0b NREL,1 EMFAC,1 EMFAC,2 EMFAC,2 EMFAC,3 EMFAC,3 EMFAC,4 EMFAC,4 EMFAC,5a NEW 85,5a NEW 85,5b NEW 95,5b NEW 95,6 MICRO,6 MICRO,1C8594,1W8594,2C8594,2W8594,3C7584,3W7584,4C8594,4W8594,5C6574,5W6574,6C7584,6W7584,7C7584,1995+,1995+,85-95,85-95,85-95,85-95,75-84,75-84,75-84,75-84,65-74,65-74,3 good smokers,3 good smokers
,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,10%SMOK,10%SMOK,50%SMOK,50%SMOK,100%SMOK,100%SMOK,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOKER,SMOKER,,,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,10%SMOK,10%SMOK,50%SMOK,50%SMOK,100%SMOK,100%SMOK,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOKER,SMOKER,ct,cu,cw,cx,cz,da,dc,dd,df,dg,cq,cr,cc,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,,,,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,10%SMOK,10%SMOK,50%SMOK,50%SMOK,100%SMOK,100%SMOK,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOKER,SMOKER,,,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,10%SMOK,10%SMOK,50%SMOK,50%SMOK,100%SMOK,100%SMOK,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOKER,SMOKER,ct,cu,cw,cx,cz,da,dc,dd,df,dg,cq,cr,cc,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM
,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,,,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,,,,,,,,,,,,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOK,SMOK,NOSMOK,NOSMOK,SMOK,SMOK,SMOK,SMOK,SMOK,SMOK,,,,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,,,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,COLD,WARM,,,,,,,,,,,,,,NOSMOK,NOSMOK,NOSMOK,NOSMOK,SMOK,SMOK,NOSMOK,NOSMOK,SMOK,SMOK,SMOK,SMOK,SMOK,SMOK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
average mass mg/mile,22.79850306,13.58464106,12.7521114,6.70161022,9.796143177,5.042630426,15.04502105,9.099842795,36.26878529,25.7313973,62.40986741,46.46012463,6.409635157,3.191200254,4.103281254,1.675534381,79.18558486,58.96809766,,,14.2927249,7.598780554,12.7521114,6.70161022,9.796143177,5.042630426,10.92539094,5.890538773,14.51301867,8.783062756,19.15705519,12.61910732,6.409635157,3.191200254,4.103281254,1.675534381,23.47192424,15.56563913,9.913324749,14.17544854,47.4682462,35.48700489,59.34071594,6.564398661,269.7337,222.0488,209.7633,120.0330,93.5899,110.9632,141.6459,4.103281254,1.675534381,8.628370676,4.649285982,109.0384205,90.57041348,11.67866426,7.635273659,59.34,6.56,209.76,120.03,38.91,18.74,,,,,,,,,,,,,,,,,,,,,,,,14.2927249,7.598780554,12.7521114,6.70161022,9.796143177,5.042630426,10.92539094,5.890538773,14.51301867,8.783062756,19.15705519,12.61910732,6.409635157,3.191200254,4.103281254,1.675534381,23.47192424,15.56563913,9.913324749,14.17544854,47.4682462,35.48700489,59.34071594,6.564398661,269.7336904,222.048787,209.7633376,120.0330466,93.5899,110.9632,141.6459,4.103281254,1.675534381,8.628370676,4.649285982,109.0384205,90.57041348,11.67866426,7.635273659,59.34,6.56,209.76,120.03,38.91,18.74
,0.398476131,0.289083532,0.231407181,0.16134417,0.144377026,0.100540005,0.246895252,0.193117706,1.088649362,0.888950934,2.187024079,1.790562953,0.081218203,0.057207666,0.084586446,0.046458693,2.780639317,2.272432903,,,0.233250815,0.162503036,0.231407181,0.16134417,0.144377026,0.100540005,0.151909477,0.108901305,0.358750518,0.284392901,0.703258519,0.564350704,0.081218203,0.057207666,0.084586446,0.046458693,0.896475816,0.715521253,1.029552704,1.187519729,2.696606612,2.126955365,3.27146696,0.92114885,13.7262,11.3461,10.7332,6.2651,4.9547,5.8150,7.3393,0.084586446,0.046458693,0.137007852,0.102959897,4.675462148,3.868230125,0.507042278,0.413227679,3.27,0.92,10.73,6.27,1.45,0.87,,,,,,,,,,,,,,,,,,,,,,,,0.233250815,0.162503036,0.231407181,0.16134417,0.144377026,0.100540005,0.151909477,0.108901305,0.358750518,0.284392901,0.703258519,0.564350704,0.081218203,0.057207666,0.084586446,0.046458693,0.896475816,0.715521253,1.029552704,1.187519729,2.696606612,2.126955365,3.27146696,0.92114885,13.72617393,11.34613134,10.73324384,6.265076596,4.9547,5.8150,7.3393,0.084586446,0.046458693,0.137007852,0.102959897,4.675462148,3.868230125,0.507042278,0.413227679,3.27,0.92,10.73,6.27,1.45,0.87
OC/MASS,0.738682975,0.773977227,0.750593257,0.805366461,0.734539276,0.797477243,0.730154176,0.775249705,0.705820423,0.703619975,0.688668746,0.660600935,0.721512776,0.801316895,0.594778322,0.578012432,0.692773777,0.662580925,,,0.762694511,0.825686171,0.750593257,0.805366461,0.734539276,0.797477243,0.742572931,0.81029714,0.770618262,0.863473495,0.822840031,0.972919584,0.721512776,0.801316895,0.594778322,0.578012432,0.855558575,1.022000271,1.24090201,1.258592496,0.938010931,1.007126655,0.80955952,1.121486705,0.67627772,0.594546025,0.831862591,0.931682579,0.45219698,0.240087283,0.260518894,0.594778322,0.578012432,0.749343084,0.838477717,0.731369373,0.683075331,0.94334048,0.755894507,0.80955952,1.121486705,0.831862591,0.931682579,0.89843202,1.083875501,,,OC/MASS,0.738682975,0.773977227,0.750593257,0.805366461,0.734539276,0.797477243,0.730154176,0.775249705,0.705820423,0.703619975,0.688668746,0.660600935,0.721512776,0.801316895,0.594778322,0.578012432,0.692773777,0.662580925,,OC/MASS,0.762694511,0.825686171,0.750593257,0.805366461,0.734539276,0.797477243,0.742572931,0.81029714,0.770618262,0.863473495,0.822840031,0.972919584,0.721512776,0.801316895,0.594778322,0.578012432,0.855558575,1.022000271,1.24090201,1.258592496,0.938010931,1.007126655,0.80955952,1.121486705,0.67627772,0.594546025,0.831862591,0.931682579,0.45219698,0.240087283,0.260518894,0.594778322,0.578012432,0.749343084,0.838477717,0.731369373,0.683075331,0.94334048,0.755894507,0.80955952,1.121486705,0.831862591,0.931682579,0.89843202,1.083875501
unc,0.015989111,0.023099009,0.01841875,0.028424476,0.017699852,0.028013356,0.016154675,0.024059098,0.021135115,0.025631446,0.032491264,0.034245006,0.018394153,0.030068065,0.023632763,0.040543118,0.034028452,0.035081937,,,0.017398916,0.026948866,0.01841875,0.028424476,0.017699852,0.028013356,0.017030493,0.027026781,0.018167423,0.02687395,0.035953803,0.054148598,0.018394153,0.030068065,0.023632763,0.040543118,0.041288273,0.061417972,0.175289921,0.146221943,0.078435501,0.088579675,0.066249344,0.214058538,0.049500817,0.044045769,0.061123914,0.070159117,0.036863163,0.020940905,0.021429017,0.023632763,0.040543118,0.021982462,0.034753929,0.043897452,0.040373434,0.060704958,0.062184134,0.066249344,0.214058538,0.061123914,0.070159117,0.048958625,0.071650864,,,unc,0.015989111,0.023099009,0.01841875,0.028424476,0.017699852,0.028013356,0.016154675,0.024059098,0.021135115,0.025631446,0.032491264,0.034245006,0.018394153,0.030068065,0.023632763,0.040543118,0.034028452,0.035081937,,unc,0.017398916,0.026948866,0.01841875,0.028424476,0.017699852,0.028013356,0.017030493,0.027026781,0.018167423,0.02687395,0.035953803,0.054148598,0.018394153,0.030068065,0.023632763,0.040543118,0.041288273,0.061417972,0.175289921,0.146221943,0.078435501,0.088579675,0.066249344,0.214058538,0.049500817,0.044045769,0.061123914,0.070159117,0.036863163,0.020940905,0.021429017,0.023632763,0.040543118,0.021982462,0.034753929,0.043897452,0.040373434,0.060704958,0.062184134,0.066249344,0.214058538,0.061123914,0.070159117,0.048958625,0.071650864
EC/MASS,0.244696759,0.24196622,0.241938001,0.230901191,0.231779191,0.222552219,0.2359752,0.233636712,0.243074322,0.265051919,0.249932705,0.284560706,0.225924302,0.206841713,0.120584565,0.22808145,0.257719656,0.286571306,,,0.237345527,0.219408443,0.241938001,0.230901191,0.231779191,0.222552219,0.229526992,0.215874791,0.206538669,0.179292676,0.169589658,0.107310295,0.225924302,0.206841713,0.120584565,0.22808145,0.176620103,0.092300359,0.180040294,0.023243288,0.142013136,0.028532931,0.22185262,0.424068958,0.273291953,0.333248444,0.016164519,0,0.517829304,0.589751934,0.49318,0.120584565,0.22808145,0.249056428,0.20330714,0.251415844,0.277277616,0.325626943,0.392694135,0.22185262,0.424068958,0.016164519,0,0.185832597,0.073377574,,,EC/MASS,0.244696759,0.24196622,0.241938001,0.230901191,0.231779191,0.222552219,0.2359752,0.233636712,0.243074322,0.265051919,0.249932705,0.284560706,0.225924302,0.206841713,0.120584565,0.22808145,0.257719656,0.286571306,,EC/MASS,0.237345527,0.219408443,0.241938001,0.230901191,0.231779191,0.222552219,0.229526992,0.215874791,0.206538669,0.179292676,0.169589658,0.107310295,0.225924302,0.206841713,0.120584565,0.22808145,0.176620103,0.092300359,0.180040294,0.023243288,0.142013136,0.028532931,0.22185262,0.424068958,0.273291953,0.333248444,0.016164519,0,0.517829304,0.589751934,0.49318,0.120584565,0.22808145,0.249056428,0.20330714,0.251415844,0.277277616,0.325626943,0.392694135,0.22185262,0.424068958,0.016164519,0,0.185832597,0.073377574
