5.65E-02	7.49E-02	2.58E-02	3.4162	2.76E-02	0.77556	0.76451	2.6348	1.3048
0.10502	9.47E-02	1.023	8.238	0.34305	0.90561	0.68558	3.6232	0.60222
0.30177	8.73E-03	3.5941	10.312	0.51018	0.96665	0.48974	3.3069	0.31276
0.11338	2.46E-02	0.90901	10.789	0.46396	0.93211	0.36254	3.0546	0.36266
4.41E-02	1.33E-02	0.13403	6.5265	3.71E-02	0.26253	0.88878	0.90091	9.04E-02
0.16499	4.07E-02	5.23E-02	10.926	0.22452	1.1396	1.3333	0.55776	4.4689
5.66E-02	2.30E-02	1.29E-02	15.163	1.18E-02	0.45933	0.60356	0.82738	3.5686
4.83E-02	3.78E-02	7.61E-02	2.0983	5.34E-02	0.33867	0.34901	0.63044	0.29909
0.1322	2.51E-02	0.15367	2.3666	7.17E-02	0.41198	0.33205	1.1861	0.38458
5.24E-02	1.37E-04	5.98E-02	2.1364	0.34089	1.6542	6.29E-04	0.56242	0.29899
9.91E-03	6.90E-03	8.57E-03	1.3104	8.50E-03	0.23439	0.39974	0.92194	0.5917
0.1722	4.85E-03	6.07E-02	3.1089	0.26698	0.17688	0.18011	0.62197	1.9246
2.53E-02	2.60E-02	1.00E-02	4.2815	0.11935	0.12724	0.18343	0.64038	0.36993
3.68E-02	3.95E-02	2.55E-02	2.734	8.30E-02	8.76E-02	0.54527	2.091	0.80712
0.11049	7.44E-02	1.90E-02	6.2818	4.33E-02	0.12208	0.66002	0.9747	1.5413
0.11818	4.30E-02	3.78E-02	9.2673	4.17E-02	0.28563	0.72552	2.0576	3.1865
0.11203	3.90E-02	0.10266	11.547	5.57E-02	0.31883	0.92899	0.87643	3.8747
2.86E-02	1.31E-02	2.19E-02	11.884	7.73E-03	0.14662	0.44411	0.35234	3.4857
3.34E-02	1.95E-02	0.20601	3.1718	0.15579	0.29029	0.22832	1.1502	0.89018
1.54E-02	3.34E-02	3.21E-03	1.6098	2.91E-02	0.24616	0.30442	2.0155	0.1798
0.36753	6.00E-02	3.86E-02	1.9139	0.11532	0.18836	0.51936	2.0004	1.6414
0.33928	0.13523	7.32E-02	8.2633	0.24069	0.26426	2.0373	2.2912	2.6491
0.28696	5.83E-02	0.12004	15.726	0.13167	0.30632	1.9453	4.6169	1.2025
0.40643	0.30651	3.15E-02	18.634	0.9045	0.24118	0.3246	2.0165	0.71958
0.18818	0.50338	6.09E-03	18.194	0.13816	0.50646	0.90045	3.2087	0.60277
1.97E-02	0.7862	4.17E-05	14.19	1.99E-02	0.93964	0.73246	2.6374	1.4587
7.05E-04	0.4027	1.72E-03	6.2082	6.83E-02	1.4282	0.70139	3.7864	0.78834
8.86E-02	5.40E-02	1.36E-02	1.6916	5.29E-02	0.32402	0.69924	1.9828	0.47776
0.68511	5.66E-02	1.86E-04	3.2879	0.16471	0.28942	0.69976	3.1896	0.56548
0.1298	0.12163	1.96E-02	3.8527	0.20433	0.3905	1.0752	3.3997	0.39822
0.25008	0.32337	7.13E-03	5.3295	0.50708	0.5534	0.31869	2.8646	0.21003
0.14015	0.27111	1.33E-02	11.546	0.11749	0.70311	0.74448	4.5902	0.52999
0.21974	0.10786	7.89E-02	8.3734	0.14486	0.38099	1.4639	1.4805	2.4059
5.66E-02	6.86E-02	2.36E-02	12.931	5.29E-02	0.18939	0.52447	1.3208	2.8381
6.09E-02	8.40E-02	2.02E-02	5.6714	0.13428	0.25814	1.1525	1.4664	1.8647
7.44E-02	8.40E-02	2.78E-02	7.3016	0.21498	0.13874	1.393	2.0528	0.94393
8.62E-02	0.1166	1.40E-02	12.861	1.85E-02	0.10497	0.4946	1.6171	1.4291
4.70E-02	9.52E-02	1.44E-02	20.54	2.27E-02	0.29383	0.92818	3.0265	1.0292
