SummerSecondary,WinterSecondary,Mobile,SteelMill,Soil,ZincSmelter,Fireworks,CopperSmelter,LeadSmelter
4.4903,0.32032,1.3308,1.2891,0.45303,0.45445,0.26724,0.31474,0.48059
4.4532,0.35748,1.2933,0.22721,0.24107,0.2511,0.052693,0.016555,0.26907
7.549,0.6012,3.8288,0.37914,0.69831,1.8953,0.31162,1.6022,0.1724
6.6817,0.34323,1.6397,0.45102,0.99614,1.6717,0.055065,1.2097,0.55811
3.83,0.7285,1.1817,2.0215,0.48937,0.37743,0.25165,0.27456,0.70345
7.9577,2.1178,0.79988,0.61521,0.27244,0.052977,0.045551,0.039006,0.022292
7.9455,1.0381,0.25939,0.086942,0.80138,1.6448,0.28108,2.2094,0.058347
6.9447,0.83029,1.5318,0.39092,0.068854,0.028831,0.039406,0.037351,0.0075993
8.4887,1.0356,5.5639,2.549,0.45805,1.0266,0.27491,0.76043,0.73151
10.476,1.2336,0.0019977,0.34546,0.0048591,1.549,0.0030209,0.89564,4.462
12.311,0.99509,2.4049,1.1235,0.7129,0.80524,0.37724,0.63747,0.5489
10.718,0.40912,2.7223,0.36089,0.53295,0.64044,0.1472,0.40363,0.26165
4.8461,0.68032,1.3279,1.6417,0.53169,0.4492,0.34205,0.30445,0.6413
5.1557,0.47368,0.95657,0.66792,0.21383,0.38192,0.062616,0.022178,0.16616
11.009,0.58398,1.2822,0.33627,0.67745,1.2898,0.25355,1.2758,0.18031
20.078,1.2609,2.8092,0.75524,0.21973,0.12042,0.04893,0.66708,0.6113
19.665,1.3058,1.2535,1.2837,0.67059,0.83032,0.2165,0.89218,0.64632
13.837,0.26382,2.9045,0.85325,0.44126,0.081939,0.06657,0.20366,0.18567
21.88,0.70084,0.34619,0.6405,0.61354,0.29745,0.29407,0.28108,0.65933
6.7529,0.15171,3.1357,0.24859,0.3697,0.022215,0.063005,0.018381,0.0072939
3.3636,0.19061,0.48771,0.87892,0.50046,0.25362,0.21084,0.1883,0.38386
1.9798,0.59678,1.4378,0.24822,0.13712,0.24389,0.033245,0.091625,0.049766
3.8118,0.9742,1.9234,2.3177,0.412,0.51974,0.22021,0.369,0.76897
5.2559,1.5823,3.1438,1.6979,0.26959,0.27034,0.052967,0.99378,0.25175
14.347,1.2832,3.108,4.6482,0.4013,0.50096,0.13048,0.47702,1.8016
13.481,1.6139,2.1079,1.2908,0.35013,0.27727,0.05551,0.094735,0.13558
2.9508,0.1712,0.11125,1.5061,0.28625,0.07499,0.1723,0.059565,0.78227
4.5461,0.54403,2.4084,0.57427,0.4169,0.11838,0.081463,0.024412,0.046333
12.491,0.88932,2.8794,0.89729,0.63761,0.95958,0.37764,0.86216,0.4595
15.516,2.5499,3.9502,0.80734,0.26772,0.22968,0.13459,0.6219,0.417
17.844,2.0333,2.2244,1.0255,0.58253,0.80851,0.15565,1.0913,0.44895
12.212,1.3206,0.84575,0.44894,0.19857,0.48457,0.017041,0.30712,0.067716
9.374,1.4172,2.7578,0.3119,0.05829,0.8344,0.00099135,0.83393,0.9951
3.9654,0.50316,1.4843,0.38497,0.11125,0.085223,0.046226,0.40203,0.068016
3.975,0.76501,5.0509,1.0055,0.27186,0.16518,0.067251,0.051828,0.14605
4.3252,0.4534,2.2102,0.23147,0.21754,0.26996,0.075054,0.041594,0.085338
1.2298,0.13315,1.6874,0.46194,0.16662,0.17429,0.054555,0.0071725,0.14892
1.2316,0.50908,2.8176,0.64424,0.22114,0.62316,0.074587,0.038675,0.20162
1.1763,0.50818,3.6134,0.7723,0.12047,0.37695,0.024001,0.41829,0.47252
1.7893,0.73321,5.2333,1.063,0.16468,0.53429,0.028019,0.38745,1.2712
4.2357,1.3543,2.5456,1.1439,0.15467,0.18104,0.031299,0.089159,0.055782
3.976,1.4653,3.4209,0.76025,0.14842,0.11488,0.047739,0.028446,0.11593
5.8968,2.1548,4.393,1.1206,0.22264,0.32024,0.082146,0.071293,0.38488
