Date	Sulfate	Nitrate	Ammonium	Nitrous	Nitric	SO2	Ammonmix	NAXC	NAXU	MGXC	MGXU	ALXC	ALXU	SIXC	SIXU	PHXC	PHXU	SUXC	SUXU	CLXC	CLXU	KPXC	KPXU	CAXC	CAXU	TIXC	TIXU	VAXC	VAXU	CRXC	CRXU	MNXC	MNXU	FEXC	FEXU	COXC	COXU	NIXC	NIXU	CUXC	CUXU	ZNXC	ZNXU	GAXC	GAXU	ASXC	ASXU	SEXC	SEXU	BRXC	BRXU	RBXC	RBXU	SRXC	SRXU	YTXC	YTXU	ZRXC	ZRXU	MOXC	MOXU	PDXC	PDXU	AGXC	AGXU	CDXC	CDXU	INXC	INXU	SNXC	SNXU	SBXC	SBXU	BAXC	BAXU	LAXC	LAXU	AUXC	AUXU	HGXC	HGXU	TLXC	TLXU	PBXC	PBXU	URXC	URXU	totalpm2	totalpm2unc	OC	Prec_OC	EC	Prec_EC
May-01	1.398504835	0.28	0.410851645	0.696602923	0.363031152	15.67823468	1.786994212	0.414613296	0.104623361	0.073989888	0.016708528	0.050638719	0.007422888	0.61745637	0.009362961	0	0.009918272	0.695677867	0.006192769	0.025832495	0.005082148	0.055102293	0.001926015	0.085349156	0.002150951	0	0.018037056	0	0.011092157	0	0.003296718	0.000604516	0.001616728	0.073659513	0.001040329	2.10878E-05	0.001546435	0.000906773	0.000288199	0.010079945	0.000421755	0.127791769	0.000899744	0	0.001792459	0.000217907	0.002305594	0.000126527	0.000822422	0.002368857	0.000231965	0.000604516	0.000850539	0.001012212	0.000309287	0	0.001180914	0.000351463	0.001321499	0	0.001933044	0.001054388	0.00224936	0	0.002776554	0.001145768	0.003106929	0.001187943	0.003837971	0.001152797	0.005827248	0	0.006734022	0.017242751	0.029775904	0	0.038927988	0	0.005412523	0	0.001518318	0	0.00121606	0.009503546	0.000815393	0.000716984	0.001989278	6.777603081	1.26	1.64	0.23	0.57	0.19
May-01	1.00042646	0.44	0.363344489	0.51392597	0.262824583	2.883835929	1.429439811	0.368398806	0.0729735	0.039077059	0.042266185	0.048076417	0.005864981	0.067074301	0.003558681	0	0.006802556	0.407325306	0.004605755	0	0.009882185	0.015692416	0.001320818	0.051238169	0.001786184	0	0.017396477	0	0.010436518	0	0.003052254	0.000526959	0.00151244	0.052052559	0.000910201	0.000349025	0.001279757	0.000253214	0.000814391	0.001464534	0.000349025	0.004578381	0.000403773	0	0.001717748	0.000780172	0.00143716	0	0.000780172	0.001204477	0.000205309	0.00017109	0.000807547	0.000451679	0.00088967	0.000280588	0.001156571	0.000253214	0.001293444	0	0.001888839	0	0.00223102	0	0.002730604	0.001601407	0.002922225	0	0.003770834	0	0.005700734	0	0.006515124	0.011257752	0.029297529	0.034040156	0.037591994	0	0.002333674	0	0.001464534	4.79053E-05	0.001156571	0.00160825	0.002107834	0.000923888	0.001943588	4.990366321	1.26	1.38	0.22	2.12	0.25
May-01	1.822580094	1.3	0.952819542	0.915915171	0.215030009	12.07487693	0.81755451	0	0.274239154	0.039051936	0.048571502	0.022128263	0.006850725	0.059527058	0.00392971	0.001197826	0.009274397	0.849272778	0.007032851	0.16506185	0.007039856	0.020005799	0.00145	0.039990583	0.001954348	0	0.016244204	0	0.009505556	0	0.002752899	0.000469324	0.001400966	0.039037926	0.00082657	0.000308213	0.001120773	0	0.000777536	0.010479228	0.000413285	0.100883584	0.000805556	0.000546377	0.001618116	0	0.004882368	0.001905314	0.000259179	0.016433335	0.000413285	0.000161111	0.000938647	0	0.000728502	0.00018913	0.001001691	0.000252174	0.001071739	0.000497343	0.001569082	0	0.001863285	0.001197826	0.002836957	0.005463769	0.001092754	0	0.003516425	0.001337923	0.005484783	0.019473432	0.002318599	0.017722224	0.027297828	0.015144446	0.034232612	7.70531E-05	0.004202899	0.000336232	0.001267875	0	0.00126087	0.026324157	0.000917633	0.000105072	0.001646135	11.23715073	1.26	1.63	0.24	0.81	0.2
May-01	2.630867834	0.36	0.935743315	0.771168504	0.450590373	15.79114444	1.728710448	0.077548939	0.297176741	0.004133129	0.048651082	0.035087337	0.006291616	0.040929553	0.003656491	0	0.01069711	1.095667304	0.007169991	0	0.019773652	0.022694759	0.001402676	0.035945285	0.001593331	0	0.017022772	0	0.010131954	0	0.002921108	0.001600141	0.000497065	0.031308282	0.000769429	0.000571965	0.001041794	0	0.000749002	0.001852078	0.000333646	0.045961484	0.000599202	0	0.001715895	0.003261563	0.000558347	0.000463019	0.000796666	0.001967832	0.000224701	0.000660484	0.000776238	0.000714956	0.000871566	0.000394928	0.001123503	0	0.001246067	0	0.001818032	0.000932848	0.00213806	0.001770368	0.002730453	0	0.002853017	0	0.003717773	0.001280112	0.005474523	0.000497065	0.006243953	0.021346556	0.028312274	0.033214832	0.03606104	0	0.002941535	0	0.001423104	0.000347265	0.001171167	0.003956092	0.000714956	0	0.001872505	8.471893078	1.26	1.79	0.25	0.34	0.19
May-01	1.827941358	0.62	0.685080115	1.203529853	0.775659635	8.707179222	3.880250501	0.209781668	0.23468197	0.030871546	0.041983314	0.026100231	0.006702562	0.047635051	0.003862493	0	0.008832613	0.793706875	0.006333353	0	0.015364771	0.031425359	0.001604639	0.099835512	0.002222354	0	0.016600201	0	0.009762736	0	0.002783267	0.000688717	0.001377433	0.073103366	0.001001124	0.000134903	0.001476836	7.10017E-06	0.000717117	0.004359505	0.000340808	0.033179102	0.000532513	0	0.001618839	0.004054198	0.000631915	0.00083782	0.000255606	0.002520561	0.000227205	0	0.000710017	0.000333708	0.00081652	7.10017E-05	0.001057926	0.000525413	0.001185729	0	0.001725342	0	0.002130051	0.000972723	0.002790367	0	0.002974972	0	0.003649488	0	0.005488433	0.001036625	0.006248151	0.012453701	0.02813798	0.0165718	0.035429856	0	0.002634164	0	0.001327732	2.13005E-05	0.001114727	0.00620555	0.000717117	0.000390509	0.001767943	10.82208145	1.26	4.07	0.35	0.72	0.2
May-01	3.839736676	1.17	1.513639613	0.945957987	1.319247739	2.848283352	1.786685063	0.228157848	0.291073483	0.024050361	0.051163289	0.013457562	0.019494025	0.048046155	0.003771937	0.010128981	0.012611775	1.668990002	0.008798913	0	0.030537001	0.048803271	0.001800708	0.051743062	0.001773424	0	0.015667521	0	0.009201343	0	0.002632853	0.001800708	0.000463819	0.074797577	0.000995846	0.001111801	0.001514231	0	0.000723011	0.003621878	0.000334222	0.02103554	0.00047064	0.001002667	0.001555157	0.004481307	0.001139084	0.001077696	0.000245551	0.004692753	0.000266014	0.000225088	0.00070937	0.000402431	0.000723011	0	0.000941279	0.00079122	0.001057234	0.000968562	0.001534694	0.000225088	0.001766603	0.001725678	0.002714703	0	0.002803374	0	0.003287656	0	0.005067901	0.000716191	0.006050105	0.016090414	0.026396738	0.019050669	0.032972049	0.001677932	0.002230422	2.04626E-05	0.001241397	0	0.001166367	0.017134006	0.00079122	0.000675265	0.001589261	16.39871741	1.26	4.81	0.37	0.81	0.2
May-01	5.472890814	2.5	2.616023363	0.552607338	1.669649987	1.990928679	1.940957008	0.291169213	0.335320426	0.065381132	0.019784179	0.027700658	0.008070878	0.103440586	0.00536187	0	0.018085785	2.485542741	0.010997449	0	0.042537037	0.050411407	0.00190192	0.11259226	0.0023581	0.007158518	0.015818921	7.71997E-05	0.006688302	0	0.001473813	0.002561627	0.000421089	0.09775588	0.001150977	0.001670321	0.001887884	5.61452E-05	0.000828142	0.006660229	0.000393017	0.022345805	0.000512325	0	0.001803666	0.001929993	0.00388104	0.003059916	0.000308799	0.003586277	0.00026669	0	0.000786033	0.000484253	0.000884288	0.000119309	0.001165014	0.000400035	0.001284322	0.000849197	0.001880866	4.91271E-05	0.002287919	0.000435126	0.003087988	0	0.003235369	0	0.003586277	0.003502059	0.00543907	0	0.00661812	0.002723044	0.029420106	0.003354678	0.037378693	0	0.002582681	9.1236E-05	0.001487849	0.000484253	0.001326431	0.019257817	0.000919378	0.000547416	0.001915956	17.57486364	1.26	3.75	0.33	0.8	0.2
May-01	6.774617066	3.22	3.349063416	0.292595694	0.524185992	1.020739705	2.167091375	0.790860187	0.108197855	0.037040891	0.056321517	0.004724708	0.024312133	0.098905248	0.005263311	0	0.021005519	3.069519283	0.012060618	0	0.054835246	0.050615052	0.001956697	0.061618917	0.001847613	0.004963329	0.014365021	0.001227197	0.006081442	0.0007295	0.001384005	0.00550875	0.000429519	0.106561592	0.001145384	0.000954486	0.001936244	0.000613598	0.000743136	0.016880774	0.000429519	0.029241374	0.000511332	0.000818131	0.001608991	0.000838585	0.00374295	0.003483875	0.000279528	0.003156623	0.000238622	0	0.000695412	0.000695412	0.000756771	0.000340888	0.000995393	0.000204533	0.001084024	0.000484061	0.001588538	0.001288557	0.002072599	0	0.00255666	0.000484061	0.002781646	0.001240832	0.003340703	0.002604384	0.005079231	0	0.005733736	0.007090471	0.026691531	0.005086049	0.033713824	0	0.002393034	0	0.001240832	0	0.001179473	0.018817018	0.000838585	0.000940851	0.00164308	24.36803862	1.26	2.51	0.27	0.57	0.19
May-01	7.13306617	2.94	3.36501658	0.210087923	0.849839533	3.711553304	0.836775528	0.148275704	0.343784022	0.080555713	0.018460684	0.040732974	0.007260539	0.045220143	0.004259611	0.012458829	0.020722047	3.050201406	0.012025045	0	0.056406066	0.030258171	0.001557354	0.028572816	0.001543131	0.003363599	0.0145353	0.001976915	0.006158302	0.000540451	0.001386685	0.003157374	0.000391116	0.052103788	0.0008889	0.00094579	0.001237349	4.97784E-05	0.000718232	0.003704937	0.000334227	0.009223231	0.000398227	0.001408018	0.001578687	0.000597341	0.0017138	0.002588478	0.000270226	0.002439143	0.000206225	0.000163558	0.000668453	0.000440895	0.000739565	0	0.000952901	0.000156446	0.001073792	1.42224E-05	0.001564465	0.000554674	0.002147583	0.001699578	0.002773369	0.000704009	0.002631145	0	0.003335154	0	0.005127178	0.003569824	0.005767186	0.004522725	0.027086574	0	0.033671549	0.000696898	0.002133361	0	0.001251572	0	0.001016902	0.005468515	0.000668453	0	0.001585798	20.61680119	1.26	2.94	0.3	0.57	0.2
Jun-01	1.907006578	0.7	0.756439206	0.396433191	1.048572386	7.097428162	NA	0.208783254	0.28757259	0.025276407	0.051510098	0.01545914	0.019831422	0.091037157	0.004596327	0.009688271	0.011304114	0.874402083	0.006538055	0	0.016769467	0.029003709	0.001500426	0.066616197	0.001900992	0	0.01573071	0	0.006639894	0	0.001473269	0.00283112	0.000414145	0.047341494	0.000875814	0.000176521	0.001208488	0	0.000767186	0.032812483	0.000543141	0.061693985	0.000665347	0	0.001799153	0.002057145	0.000665347	0	0.000787554	0.001751628	0.000224046	0.000128996	0.000780765	2.03678E-05	0.000882604	2.7157E-05	0.001154174	0.000563508	0.001296748	0	0.001880624	0.001065913	0.002165773	0.001256013	0.002803963	0	0.002960116	0	0.003645831	0.002131827	0.005553613	0	0.006280063	0.014440751	0.029051234	0.011297325	0.036967508	0	0.003258844	0	0.001452901	4.07355E-05	0.001194909	0.006931832	0.000767186	0.000257992	0.00192136	7.598537264	1.26	2.02	0.25	0.53	0.19
