"","date","winddir","Na","Mg","Al","Si","Ph","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Mo","Pd","Ag","Cd","In","Sn","Sb","Ba","La","Au","Hg","Tl","Pb","U","OC","EC","SO","NO"
"14","2001-05-27",314,0.2097817,0.03087155,0.02610023,0.04763505,0,0.7937069,0,0.03142536,0.09983551,0,0,0,0.000688717,0.07310337,0.000134903,7.10017e-06,0.004359505,0.0331791,0,0.004054198,0.00083782,0.002520561,0,0.000333708,7.10017e-05,0.000525413,0,0,0.000972723,0,0,0,0.001036625,0.0124537,0.0165718,0,0,2.13005e-05,0.00620555,0.000390509,4.07,0.72,1.827941,0.62
"15","2001-05-28",36,0.2281578,0.02405036,0.01345756,0.04804616,0.01012898,1.66899,0,0.04880327,0.05174306,0,0,0,0.001800708,0.07479758,0.001111801,0,0.003621878,0.02103554,0.001002667,0.004481307,0.001077696,0.004692753,0.000225088,0.000402431,0,0.00079122,0.000968562,0.000225088,0.001725678,0,0,0,0.000716191,0.01609041,0.01905067,0.001677932,2.04626e-05,0,0.01713401,0.000675265,4.81,0.81,3.839737,1.17
"16","2001-05-29",120,0.2911692,0.06538113,0.02770066,0.1034406,0,2.485543,0,0.05041141,0.1125923,0.007158518,7.71997e-05,0,0.002561627,0.09775588,0.001670321,5.61452e-05,0.006660229,0.02234581,0,0.001929993,0.003059916,0.003586277,0,0.000484253,0.000119309,0.000400035,0.000849197,4.91271e-05,0.000435126,0,0,0.003502059,0,0.002723044,0.003354678,0,9.1236e-05,0.000484253,0.01925782,0.000547416,3.75,0.8,5.472891,2.5
"17","2001-05-30",112,0.7908602,0.03704089,0.004724708,0.09890525,0,3.069519,0,0.05061505,0.06161892,0.004963329,0.001227197,0.0007295,0.00550875,0.1065616,0.000954486,0.000613598,0.01688077,0.02924137,0.000818131,0.000838585,0.003483875,0.003156623,0,0.000695412,0.000340888,0.000204533,0.000484061,0.001288557,0,0.000484061,0.001240832,0.002604384,0,0.007090471,0.005086049,0,0,0,0.01881702,0.000940851,2.51,0.57,6.774617,3.22
"18","2001-05-31",209,0.1482757,0.08055571,0.04073297,0.04522014,0.01245883,3.050201,0,0.03025817,0.02857282,0.003363599,0.001976915,0.000540451,0.003157374,0.05210379,0.00094579,4.97784e-05,0.003704937,0.009223231,0.001408018,0.000597341,0.002588478,0.002439143,0.000163558,0.000440895,0,0.000156446,1.42224e-05,0.000554674,0.001699578,0.000704009,0,0,0.003569824,0.004522725,0,0.000696898,0,0,0.005468515,0,2.94,0.57,7.133066,2.94
"19","2001-06-01",270,0.2087833,0.02527641,0.01545914,0.09103716,0.009688271,0.874402,0,0.02900371,0.0666162,0,0,0,0.00283112,0.04734149,0.000176521,0,0.03281248,0.06169399,0,0.002057145,0,0.001751628,0.000128996,2.03678e-05,2.7157e-05,0.000563508,0,0.001065913,0.001256013,0,0,0.002131827,0,0.01444075,0.01129733,0,0,4.07355e-05,0.006931832,0.000257992,2.02,0.53,1.907007,0.7
"20","2001-06-02",297,0.4272115,0.03829588,0.03194006,0.08343056,0.005760831,0.5014373,0,0.02977713,0.1053539,0.004815859,0.000944972,0.000538984,0.001245963,0.0545074,0.000986971,0,0.000755978,0.01226364,0.000223993,0.000118997,0.00103597,0.000972971,0,0.000398988,0.000146996,0.000545984,0.000307991,0.000727979,0,0,0,0.003114909,0.002211935,0,0,0,8.39975e-05,0.000230993,0.003205906,6.29982e-05,1.67,0.57,1.054423,0.17
"21","2001-06-03",92,0.2143354,0.077236,0.03376328,0.07424215,0.001785327,0.6241161,0.03030936,0.04659704,0.1038099,0,0,0,0.00096133,0.0765768,0.000830864,0,0.007642574,0.04857463,0,0.002774124,0.000556198,0.003344055,0,0.00096133,4.80665e-05,0,0,0.000624865,0,0.001215396,0,0.002032526,0,0.03229382,0.02877124,0,0,0,0.05528335,0.000274666,2.4,0.67,1.339041,1.2
"22","2001-06-07",351,0.2147956,0.08663574,0.04655486,0.1063326,0,2.390696,0,0.09191388,0.1296856,0.002962082,0,0.000481081,0.01249435,0.2171117,0.000192432,0.000501698,0.01342215,0.09874523,2.06177e-05,0,0.0034088,0.002487874,0.001024014,0.000625405,3.43629e-05,0.000144324,0.001353898,0.001388261,0.000893435,0.00258409,0,0.00884501,0.000329884,0.002776522,0.02011604,0,0.000164942,0.000927798,0.05343431,0,3.36,1.13,5.439762,2.15
"23","2001-06-09",56,0.2926955,0,0.04645841,0.1401813,0,4.217814,0,0.07093123,0.236426,0.004271721,0,0.001722468,0.01046572,0.2276827,0.001570891,0.001915384,0.02038024,0.06229822,0.001336635,0.002066962,0.002569922,0.005250083,0.000144687,0.000847454,0,0.000633868,0.000392723,0,0,0.001123049,0,0.002308107,0.001336635,0,0.02042847,0.000344494,0.000778556,0,0.0457143,0.000213586,7.71,1.1,10.07954,1.25
"24","2001-06-11",213,0.3324488,0.1421235,0.04330788,0.109806,0,4.759417,0,0.1784868,0.1183355,0,0,0,0.0078552,0.09097434,0.000382333,4.86605e-05,0.007952521,0.3420349,0,0.004518478,0.001557137,0.005519495,0.000542217,0.00092455,6.25635e-05,0,0,0.00013903,0.003183789,0.008724138,0.002794505,0.006242451,0.006833329,0.03194216,0.03244962,0,0,0,0.0635159,0.000298915,4.94,0.55,10.51908,0.97
"25","2001-06-12",180,0.4425086,0.03535149,0.04993325,0.1838889,0,4.828762,0,0.2590686,0.1751243,0,0,0,0.00409929,0.1357971,0,1.95204e-05,0.00291505,0.06260852,0,0.001841427,0.001600675,0.005348597,0.000383902,0.000683215,0,0.000637667,0,0,0,0,0.000429449,0.007866732,0,0.01929269,0.02726353,0,0,0.000357874,0.03090084,0.00014315,5.44,0.76,9.655087,0.89
"26","2001-06-13",174,0.05644813,0.02296741,0.1021429,0.2879396,0,3.842478,0,0.4046558,0.1544145,0.001021841,0.000281178,6.17219e-05,0.004073647,0.1269826,0.000630935,0,0.001323592,0.0165209,0,0.002091687,0.001803652,0.00624763,0.000960119,0.000932687,0,0.000678941,0.000555497,0.000178308,0,0,0.000548639,0.002462019,0,0.01713812,0,0,0,0.000356616,0.006275062,0.000548639,5.26,0.92,8.042898,1.33
